dataset_id,model_name,model_label,config_hash,fold,area_bin,bin_left_km2,bin_right_km2,area_center_km2,n_samples,mean_sr,rmse,relative_rmse,relative_rmse_percent
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,4,48.04497735925719,89.44271909999146,65.77098057172356,3260,63.747852760736194,36.806387057620555,0.5773745383356735,57.73745383356736
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,5,89.44271909999146,166.51064148037437,122.64417966746798,3179,72.4388172381252,39.66829053504497,0.5476109639483069,54.76109639483069
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,6,166.51064148037437,309.98379750966797,226.76679828715638,3162,88.67235926628716,42.1869541915018,0.47576217144299093,47.57621714429909
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,7,309.98379750966797,577.0799623628864,424.2890183909074,3141,104.98248965297675,43.66343819246641,0.41591162808957394,41.59116280895739
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,8,577.0799623628864,1074.318353527377,789.4236936045835,3148,128.37801778907243,46.35755106614161,0.3611019383576086,36.11019383576086
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,9,1074.318353527377,2000.0000000000023,1462.7428364528125,3296,158.2851941747573,46.785065909327045,0.2955744923158969,29.557449231589686
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,10,2000.0000000000023,3723.2911332721424,2736.8492055455995,3190,190.3746081504702,45.98559095080299,0.24155317454130454,24.155317454130454
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,11,3723.2911332721424,6931.448431551469,5072.619700415974,3356,227.39988081048867,47.51816690538229,0.20896302467714636,20.896302467714637
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,12,6931.448431551469,12903.900242964326,9413.836519086533,3287,275.4021904472163,48.53971941786149,0.17625030265387318,17.625030265387316
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,13,12903.900242964326,24022.48867962863,17561.534231081303,3201,332.63511402686663,49.97656017200249,0.15024439111971183,15.024439111971182
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,14,24022.48867962863,44721.359549995796,32904.802095954044,3216,397.3694029850746,52.6819353916499,0.13257672834369852,13.257672834369853
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,15,44721.359549995796,83255.32074018731,61106.030574533106,3110,452.83376205787783,52.275558596910464,0.11544094759928479,11.544094759928479
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,16,83255.32074018731,154991.89875483367,113395.64723485683,3283,548.2220530003046,55.21899672535481,0.1007237786644167,10.07237786644167
ceacce0,MuScaRi_ClimateDEM,Climate + DEM,dae0789a3c87,1,17,154991.89875483367,288539.98118144256,211408.36375209314,3328,610.4696514423077,58.30518733906493,0.0955087401991433,9.55087401991433
